Abbr,Value
Ac-224,3.7
Ac-225,0.037
Ac-226,0.37
Ac-227,0.000037
Ac-228,0.37
Ag-102,3.7
Ag-103,37
Ag-104,37
Ag-104m,37
Ag-105,0.37
Ag-106,3.7
Ag-106m,0.37
Ag-108m,0.37
Ag-110m,0.37
Ag-111,0.37
Ag-112,3.7
Ag-115,37
Al-26,0.37
Am-237,37
Am-238,3.7
Am-239,3.7
Am-240,0.37
Am-241,0.00037
Am-242,3.7
Am-242m,0.00037
Am-243,0.00037
Am-244,0.37
Am-244m,37
Am-245,37
Am-246,37
Am-246m,37
Ar-37,0.037
Ar-39,37
Ar-41,0.37
As-69,37
As-70,3.7
As-71,3.7
As-72,0.37
As-73,3.7
As-74,0.37
As-76,3.7
As-77,37
As-78,3.7
At-207,3.7
At-211,3.7
Au-193,3.7
Au-194,0.37
Au-195,3.7
Au-198,3.7
Au-198m,0.37
Au-199,3.7
Au-200,37
Au-200m,0.37
Au-201,37
Ba-126,37
Ba-128,0.37
Ba-131,0.37
Ba-131m,37
Ba-133,0.37
Ba-133m,3.7
Ba-135m,37
Ba-139,37
Ba-140,0.37
Ba-141,37
Ba-142,37
Be-7,3.7
Be-10,0.037
Bi-200,3.7
Bi-201,3.7
Bi-202,37
Bi-203,0.37
Bi-205,0.37
Bi-206,0.37
Bi-207,0.37
Bi-210,0.37
Bi-210m,0.0037
Bi-212,3.7
Bi-213,3.7
Bi-214,3.7
Bk-245,3.7
Bk-246,0.37
Bk-247,0.00037
Bk-249,0.037
Bk-250,3.7
Br-74,3.7
Br-74m,3.7
Br-75,3.7
Br-76,0.37
Br-77,3.7
Br-80,37
Br-80m,37
Br-82,0.37
Br-83,37
Br-84,3.7
C-11,37
C-14,0.37
Ca-41,0.37
Ca-45,0.37
Ca-47,0.37
Cd-104,37
Cd-107,37
Cd-109,0.037
Cd-113,0.0037
Cd-113m,0.0037
Cd-115,3.7
Cd-115m,0.37
Cd-117,3.7
Cd-117m,0.37
Ce-134,0.37
Ce-135,0.37
Ce-137,37
Ce-137m,3.7
Ce-139,3.7
Ce-141,0.37
Ce-143,3.7
Ce-144,0.037
Cf-244,37
Cf-246,0.37
Cf-248,0.0037
Cf-249,0.00037
Cf-250,0.00037
Cf-251,0.00037
Cf-252,0.0037
Cf-253,0.37
Cf-254,0.0037
Cl-36,0.37
Cl-38,3.7
Cl-39,3.7
Cm-238,37
Cm-240,0.037
Cm-241,0.37
Cm-242,0.037
Cm-243,0.00037
Cm-244,0.00037
Cm-245,0.00037
Cm-246,0.00037
Cm-247,0.00037
Cm-248,0.000037
Cm-249,37
Co-55,0.37
Co-56,0.37
Co-57,3.7
Co-58,0.37
Co-58m,37
Co-60,0.37
Co-60m,37
Co-61,37
Co-62m,37
Cr-48,3.7
Cr-49,37
Cr-51,37
Cs-125,37
Cs-127,3.7
Cs-129,3.7
Cs-130,37
Cs-131,37
Cs-132,0.37
Cs-134,0.037
Cs-134m,37
Cs-135,0.37
Cs-135m,3.7
Cs-136,0.37
Cs-137,0.037
Cs-138,3.7
Cu-60,3.7
Cu-61,3.7
Cu-64,37
Cu-67,3.7
Dy-155,3.7
Dy-157,3.7
Dy-159,3.7
Dy-165,37
Dy-166,0.37
Er-161,3.7
Er-165,37
Er-169,3.7
Er-171,3.7
Er-172,0.37
Es-250,0.37
Es-251,37
Es-253,0.37
Es-254,0.0037
Es-254m,0.037
Eu-145,0.37
Eu-146,0.37
Eu-147,0.37
Eu-148,0.37
Eu-149,3.7
Eu-150(short),37
Eu-150(long),0.37
Eu-152,0.37
Eu-152m,3.7
Eu-154,0.37
Eu-155,0.37
Eu-156,0.37
Eu-157,0.37
Eu-158,37
F-18,37
Fe-52,3.7
Fe-55,3.7
Fe-59,0.37
Fe-60,0.0037
Fm-252,0.37
Fm-253,0.37
Fm-254,3.7
Fm-255,3.7
Fm-257,0.037
Fr-222,3.7
Fr-223,3.7
Ga-65,37
Ga-66,0.37
Ga-67,3.7
Ga-68,37
Ga-70,37
Ga-72,0.37
Ga-73,3.7
Gd-145,3.7
Gd-146,0.37
Gd-147,0.37
Gd-148,0.000037
Gd-149,3.7
Gd-151,3.7
Gd-152,0.000037
Gd-153,0.37
Gd-159,37
Ge-66,3.7
Ge-67,37
Ge-68,0.37
Ge-69,0.37
Ge-71,37
Ge-75,37
Ge-77,0.37
Ge-78,37
H-3,3.7
Hf-170,3.7
Hf-172,0.037
Hf-173,3.7
Hf-175,3.7
Hf-177m,37
Hf-178m,0.0037
Hf-179m,3.7
Hf-180m,3.7
Hf-181,0.37
Hf-182,0.0037
Hf-182m,3.7
Hf-183,3.7
Hf-184,3.7
Hg-193,3.7
Hg-193m,0.37
Hg-194,0.0037
Hg-195,3.7
Hg-195m,3.7
Hg-197,37
Hg-197m,37
Hg-199m,37
Hg-203,0.37
Ho-155,37
Ho-157,37
Ho-159,37
Ho-161,37
Ho-162,37
Ho-162m,37
Ho-164,37
Ho-164m,37
Ho-166,3.7
Ho-166m,0.037
Ho-167,3.7
I-120,0.37
I-120m,3.7
I-121,3.7
I-123,0.37
I-124,0.0037
I-125,0.00037
I-126,0.00037
I-128,37
I-129,0.000037
I-130,0.037
I-131,0.00037
I-132,0.37
I-132m,0.37
I-133,0.0037
I-134,3.7
I-135,0.37
In-109,3.7
In-110(short),3.7
In-110(long),0.37
In-111,3.7
In-112,37
In-113m,37
In-114m,0.37
In-115m,3.7
In-116m,3.7
In-117,37
In-117m,3.7
In-119m,37
Ir-182,37
Ir-184,3.7
Ir-185,3.7
Ir-186,0.37
Ir-187,3.7
Ir-188,0.37
Ir-189,3.7
Ir-190,0.37
Ir-190m,37
Ir-192,0.37
Ir-192m,3.7
Ir-194,3.7
Ir-194m,0.37
Ir-195,37
Ir-195m,3.7
K-40,0.037
K-42,3.7
K-43,0.37
K-44,3.7
K-45,37
Kr-74,0.37
Kr-76,0.37
Kr-77,0.37
Kr-79,3.7
Kr-81,37
Kr-83m,37
Kr-85,37
Kr-85m,3.7
Kr-87,0.37
Kr-88,0.37
La-131,37
La-132,3.7
La-135,37
La-137,0.37
La-138,0.037
La-140,0.37
La-141,37
La-142,3.7
La-143,37
Lu-169,0.37
Lu-170,0.37
Lu-171,0.37
Lu-172,0.37
Lu-173,3.7
Lu-174,0.37
Lu-174m,0.37
Lu-176,0.037
Lu-176m,37
Lu-177,3.7
Lu-177m,0.37
Lu-178,37
Lu-178m,37
Lu-179,37
Md-257,3.7
Md-258,0.037
Mg-28,0.37
Mn-51,37
Mn-52,0.37
Mn-52m,37
Mn-53,37
Mn-54,0.37
Mn-56,3.7
Mo-90,3.7
Mo-93,3.7
Mo-93m,0.37
Mo-99,3.7
Mo-101,37
N-13,0.037
Na-22,0.37
Na-24,0.37
Nb-88,3.7
Nb-89(short),3.7
Nb-89(long),3.7
Nb-90,0.37
Nb-93m,3.7
Nb-94,0.37
Nb-95,0.37
Nb-95m,3.7
Nb-96,0.37
Nb-97,3.7
Nb-98,37
Nd-136,37
Nd-138,37
Nd-139,37
Nd-139m,3.7
Nd-141,37
Nd-147,0.37
