Symbol, Mass_Number, Val, Version
Ac, 225, 8.00e-01, 0
Ac, 227, 9.00e-01, 0
Ac, 228, 6.00e-01, 0
Ag, 105, 2.00e+00, 0
Ag, 108m, 7.00e-01, 0
Ag, 110m, 4.00e-01, 0
Ag, 111, 2.00e+00, 0
Al, 26, 1.00e-01, 0
Am, 241, 1.00e+01, 0
Am, 242m, 1.00e+01, 0
Am, 243, 5.00e+00, 0
Ar, 37, 4.00e+01, 0
Ar, 39, 4.00e+01, 0
Ar, 41, 3.00e-01, 0
As, 72, 3.00e-01, 0
As, 73, 4.00e+01, 0
As, 74, 1.00e+00, 0
As, 76, 3.00e-01, 0
As, 77, 2.00e+01, 0
At, 211, 2.00e+01, 0
Au, 193, 7.00e+00, 0
Au, 194, 1.00e+00, 0
Au, 195, 1.00e+01, 0
Au, 198, 1.00e+00, 0
Au, 199, 1.00e+01, 0
Ba, 131, 2.00e+00, 0
Ba, 133, 3.00e+00, 0
Ba, 133m, 2.00e+01, 0
Ba, 140, 5.00e-01, 0
Be, 7, 2.00e+01, 0
Be, 10, 4.00e+01, 0
Bi, 205, 7.00e-01, 0
Bi, 206, 3.00e-01, 0
Bi, 207, 7.00e-01, 0
Bi, 210, 1.00e+00, 0
Bi, 210m, 6.00e-01, 0
Bi, 212, 7.00e-01, 0
Bk, 247, 8.00e+00, 0
Bk, 249, 4.00e+01, 0
Br, 76, 4.00e-01, 0
Br, 77, 3.00e+00, 0
Br, 82, 4.00e-01, 0
C, 11, 1.00e+00, 0
C, 14, 4.00e+01, 0
Ca, 41, Infinity, 0
Ca, 45, 4.00e+01, 0
Ca, 47, 3.00e+00, 0
Cd, 109, 3.00e+01, 0
Cd, 113m, 4.00e+01, 0
Cd, 115, 3.00e+00, 0
Cd, 115m, 5.00e-01, 0
Ce, 139, 7.00e+00, 0
Ce, 141, 2.00e+01, 0
Ce, 143, 9.00e-01, 0
Ce, 144, 2.00e-01, 0
Cf, 248, 4.00e+01, 0
Cf, 249, 3.00e+00, 0
Cf, 250, 2.00e+01, 0
Cf, 251, 7.00e+00, 0
Cf, 252, 5.00e-02, 0
Cf, 253, 4.00e+01, 0
Cf, 254, 1.00e-03, 0
Cl, 36, 1.00e+01, 0
Cl, 38, 2.00e-01, 0
Cm, 240, 4.00e+01, 0
Cm, 241, 2.00e+00, 0
Cm, 242, 4.00e+01, 0
Cm, 243, 9.00e+00, 0
Cm, 244, 2.00e+01, 0
Cm, 245, 9.00e+00, 0
Cm, 246, 9.00e+00, 0
Cm, 247, 3.00e+00, 0
Cm, 248, 2.00e-02, 0
Co, 55, 5.00e-01, 0
Co, 56, 3.00e-01, 0
Co, 57, 1.00e+01, 0
Co, 58, 1.00e+00, 0
Co, 58m, 4.00e+01, 0
Co, 60, 4.00e-01, 0
Cr, 51, 3.00e+01, 0
Cs, 129, 4.00e+00, 0
Cs, 131, 3.00e+01, 0
Cs, 132, 1.00e+00, 0
Cs, 134, 7.00e-01, 0
Cs, 134m, 4.00e+01, 0
Cs, 135, 4.00e+01, 0
Cs, 136, 5.00e-01, 0
Cs, 137, 2.00e+00, 0
Cu, 64, 6.00e+00, 0
Cu, 67, 1.00e+01, 0
Dy, 159, 2.00e+01, 0
Dy, 165, 9.00e-01, 0
Dy, 166, 9.00e-01, 0
Er, 169, 4.00e+01, 0
Er, 171, 8.00e-01, 0
Eu, 147, 2.00e+00, 0
Eu, 148, 5.00e-01, 0
Eu, 149, 2.00e+01, 0
Eu, 150(short), 2.00e+00, 0
Eu, 150(long), 7.00e-01, 0
Eu, 152, 1.00e+00, 0
Eu, 152m, 8.00e-01, 0
Eu, 154, 9.00e-01, 0
Eu, 155, 2.00e+01, 0
Eu, 156, 7.00e-01, 0
F, 18, 1.00e+00, 0
Fe, 52, 3.00e-01, 0
Fe, 55, 4.00e+01, 0
Fe, 59, 9.00e-01, 0
Fe, 60, 4.00e+01, 0
Ga, 67, 7.00e+00, 0
Ga, 68, 5.00e-01, 0
Ga, 72, 4.00e-01, 0
Gd, 146, 5.00e-01, 0
Gd, 148, 2.00e+01, 0
Gd, 153, 1.00e+01, 0
Gd, 159, 3.00e+00, 0
Ge, 68, 5.00e-01, 0
Ge, 71, 4.00e+01, 0
Ge, 77, 3.00e-01, 0
H, 3, 4.00e+01, 0
Hf, 172, 6.00e-01, 0
Hf, 175, 3.00e+00, 0
Hf, 181, 2.00e+00, 0
Hf, 182, Infinity, 0
Hg, 194, 1.00e+00, 0
Hg, 195m, 3.00e+00, 0
Hg, 197, 2.00e+01, 0
Hg, 197m, 1.00e+01, 0
Hg, 203, 5.00e+00, 0
Ho, 166, 4.00e-01, 0
Ho, 166m, 6.00e-01, 0
I, 123, 6.00e+00, 0
I, 124, 1.00e+00, 0
I, 125, 2.00e+01, 0
I, 126, 2.00e+00, 0
I, 129, Infinity, 0
I, 131, 3.00e+00, 0
I, 132, 4.00e-01, 0
I, 133, 7.00e-01, 0
I, 134, 3.00e-01, 0
I, 135, 6.00e-01, 0
In, 111, 3.00e+00, 0
In, 113m, 4.00e+00, 0
In, 114m, 1.00e+01, 0
In, 115m, 7.00e+00, 0
Ir, 189, 1.00e+01, 0
Ir, 190, 7.00e-01, 0
Ir, 192, 1.00e+00, 0
Ir, 194, 3.00e-01, 0
K, 40, 9.00e-01, 0
K, 42, 2.00e-01, 0
K, 43, 7.00e-01, 0
Kr, 79, 4.00e+00, 0
Kr, 81, 4.00e+01, 0
Kr, 85, 1.00e+01, 0
Kr, 85m, 8.00e+00, 0
Kr, 87, 2.00e-01, 0
La, 137, 3.00e+01, 0
La, 140, 4.00e-01, 0
Lu, 172, 6.00e-01, 0
Lu, 173, 8.00e+00, 0
Lu, 174, 9.00e+00, 0
Lu, 174m, 2.00e+01, 0
Lu, 177, 3.00e+01, 0
Mg, 28, 3.00e-01, 0
Mn, 52, 3.00e-01, 0
Mn, 53, Infinity, 0
Mn, 54, 1.00e+00, 0
Mn, 56, 3.00e-01, 0
Mo, 93, 4.00e+01, 0
Mo, 99, 1.00e+00, 0
N, 13, 9.00e-01, 0
Na, 22, 5.00e-01, 0
Na, 24, 2.00e-01, 0
Nb, 93m, 4.00e+01, 0
Nb, 94, 7.00e-01, 0
Nb, 95, 1.00e+00, 0
Nb, 97, 9.00e-01, 0
Nd, 147, 6.00e+00, 0
Nd, 149, 6.00e-01, 0
Ni, 59, Infinity, 0
Ni, 63, 4.00e+01, 0
Ni, 65, 4.00e-01, 0
Np, 235, 4.00e+01, 0
Np, 236(short), 2.00e+01, 0
Np, 236(long), 9.00e+00, 0
Np, 237, 2.00e+01, 0
Np, 239, 7.00e+00, 0
Os, 185, 1.00e+00, 0
Os, 191, 1.00e+01, 0
Os, 191m, 4.00e+01, 0
Os, 193, 2.00e+00, 0
Os, 194, 3.00e-01, 0
P, 32, 5.00e-01, 0
P, 33, 4.00e+01, 0
Pa, 230, 2.00e+00, 0
Pa, 231, 4.00e+00, 0
Pa, 233, 5.00e+00, 0
Pb, 201, 1.00e+00, 0
Pb, 202, 4.00e+01, 0
Pb, 203, 4.00e+00, 0
Pb, 205, Infinity, 0
Pb, 210, 1.00e+00, 0
Pb, 212, 7.00e-01, 0
Pd, 103, 4.00e+01, 0
Pd, 107, Infinity, 0
Pd, 109, 2.00e+00, 0
Pm, 143, 3.00e+00, 0
Pm, 144, 7.00e-01, 0
Pm, 145, 3.00e+01, 0
Pm, 147, 4.00e+01, 0
Pm, 148m, 8.00e-01, 0
Pm, 149, 2.00e+00, 0
Pm, 151, 2.00e+00, 0
Po, 210, 4.00e+01, 0
Pr, 142, 4.00e-01, 0
Pr, 143, 3.00e+00, 0
Pt, 188, 1.00e+00, 0
Pt, 191, 4.00e+00, 0
Pt, 193, 4.00e+01, 0
Pt, 193m, 4.00e+01, 0
Pt, 195m, 1.00e+01, 0
Pt, 197, 2.00e+01, 0
Pt, 197m, 1.00e+01, 0
Pu, 236, 3.00e+01, 0
Pu, 237, 2.00e+01, 0
Pu, 238, 1.00e+01, 0
Pu, 239, 1.00e+01, 0
Pu, 240, 1.00e+01, 0
Pu, 241, 4.00e+01, 0
Pu, 242, 1.00e+01, 0
Pu, 244, 4.00e-01, 0
