Symbol, Mass_Number, Val, Version
Ac, 225, -Infinity, 0
Ac, 227, -Infinity, 0
Ac, 228, -Infinity, 0
Ag, 105, -Infinity, 0
Ag, 108m, -Infinity, 0
Ag, 110m, 0.00277492, 0
Ag, 111, -Infinity, 0
Al, 26, -Infinity, 0
Am, 241, 4.39087e-06, 0
Am, 242m, -Infinity, 0
Am, 243, -Infinity, 0
Ar, 37, -Infinity, 0
Ar, 39, -Infinity, 0
Ar, 41, -Infinity, 0
As, 71 , 0.254833522, 0
As, 72, 0.639828167, 0
As, 73, 0.00866434, 0
As, 74, 0.039006594, 0
As, 76, -Infinity, 0
As, 77, -Infinity, 0
At, 211, -Infinity, 0
Au, 193, -Infinity, 0
Au, 194, -Infinity, 0
Au, 195, -Infinity, 0
Au, 198, 0.256721178, 0
Au, 198m, 0.305351181, 0
Au, 199, -Infinity, 0
Ba, 131, -Infinity, 0
Ba, 133, 0.000180565, 0
Ba, 133m, -Infinity, 0
Ba, 140, -Infinity, 0
Be, 7, 0.012980284, 0
Be, 10, -Infinity, 0
Bi, 205, -Infinity, 0
Bi, 206, -Infinity, 0
Bi, 207, 5.68184e-05, 0
Bi, 210, -Infinity, 0
Bi, 210m, -Infinity, 0
Bi, 212, -Infinity, 0
Bk, 247, -Infinity, 0
Bk, 249, -Infinity, 0
Br, 76, -Infinity, 0
Br, 77, -Infinity, 0
Br, 82, 0.466765778, 0
Br, 84, 18.71497388, 0
C, 11, 29.24214668, 0
C, 14, 3.38881e-07, 0
Ca, 41, -Infinity, 0
Ca, 45, 0.004260278, 0
Ca, 47, -Infinity, 0
Cd, 109, 0.001498373, 0
Cd, 113m, -Infinity, 0
Cd, 115, -Infinity, 0
Cd, 115m, -Infinity, 0
Ce, 139, -Infinity, 0
Ce, 141, 0.021327606, 0
Ce, 143, -Infinity, 0
Ce, 144, -Infinity, 0
Cf, 248, -Infinity, 0
Cf, 249, -Infinity, 0
Cf, 250, -Infinity, 0
Cf, 251, -Infinity, 0
Cf, 252, 0.000719111, 0
Cf, 253, -Infinity, 0
Cf, 254, -Infinity, 0
Cl, 36, 6.30476e-09, 0
Cl, 38, -Infinity, 0
Cm, 240, -Infinity, 0
Cm, 241, -Infinity, 0
Cm, 242, -Infinity, 0
Cm, 243, -Infinity, 0
Cm, 244, 0.000104789, 0
Cm, 245, -Infinity, 0
Cm, 246, -Infinity, 0
Cm, 247, -Infinity, 0
Cm, 248, -Infinity, 0
