Symbol, Mass_Number, Val, Version
Ac, 225, 1.00e+04, 0
Ac, 227, 1.00e+03, 0
Ac, 228, 1.00e+06, 0
Ag, 105, 1.00e+06, 0
Ag, 108m, 1.00e+06, 0
Ag, 110m, 1.00e+06, 0
Ag, 111, 1.00e+06, 0
Al, 26, 1.00e+05, 0
Am, 241, 1.00e+04, 0
Am, 242m, 1.00e+04, 0
Am, 243, 1.00e+03, 0
Ar, 37, 1.00e+08, 0
Ar, 39, 1.00e+04, 0
Ar, 41, 1.00e+09, 0
As, 72, 1.00e+05, 0
As, 73, 1.00e+07, 0
As, 74, 1.00e+06, 0
As, 76, 1.00e+05, 0
As, 77, 1.00e+06, 0
At, 211, 1.00e+07, 0
Au, 193, 1.00e+07, 0
Au, 194, 1.00e+06, 0
Au, 195, 1.00e+07, 0
Au, 198, 1.00e+06, 0
Au, 199, 1.00e+06, 0
Ba, 131, 1.00e+06, 0
Ba, 133, 1.00e+06, 0
Ba, 133m, 1.00e+06, 0
Ba, 140, 1.00e+05, 0
Be, 7, 1.00e+07, 0
Be, 10, 1.00e+06, 0
Bi, 205, 1.00e+06, 0
Bi, 206, 1.00e+05, 0
Bi, 207, 1.00e+06, 0
Bi, 210, 1.00e+06, 0
Bi, 210m, 1.00e+05, 0
Bi, 212, 1.00e+05, 0
Bk, 247, 1.00e+04, 0
Bk, 249, 1.00e+06, 0
Br, 76, 1.00e+05, 0
Br, 77, 1.00e+06, 0
Br, 82, 1.00e+06, 0
C, 11, 1.00e+06, 0
C, 14, 1.00e+07, 0
Ca, 41, 1.00e+07, 0
Ca, 45, 1.00e+07, 0
Ca, 47, 1.00e+06, 0
Cd, 109, 1.00e+06, 0
Cd, 113m, 1.00e+06, 0
Cd, 115, 1.00e+06, 0
Cd, 115m, 1.00e+06, 0
Ce, 139, 1.00e+06, 0
Ce, 141, 1.00e+07, 0
Ce, 143, 1.00e+06, 0
Ce, 144, 1.00e+05, 0
Cf, 248, 1.00e+04, 0
Cf, 249, 1.00e+03, 0
Cf, 250, 1.00e+04, 0
Cf, 251, 1.00e+03, 0
Cf, 252, 1.00e+04, 0
Cf, 253, 1.00e+05, 0
Cf, 254, 1.00e+03, 0
Cl, 36, 1.00e+06, 0
Cl, 38, 1.00e+05, 0
Cm, 240, 1.00e+05, 0
Cm, 241, 1.00e+06, 0
Cm, 242, 1.00e+05, 0
Cm, 243, 1.00e+04, 0
Cm, 244, 1.00e+04, 0
Cm, 245, 1.00e+03, 0
Cm, 246, 1.00e+03, 0
Cm, 247, 1.00e+04, 0
Cm, 248, 1.00e+03, 0
Co, 55, 1.00e+06, 0
Co, 56, 1.00e+05, 0
Co, 57, 1.00e+06, 0
Co, 58, 1.00e+06, 0
Co, 58m, 1.00e+07, 0
Co, 60, 1.00e+05, 0
Cr, 51, 1.00e+07, 0
Cs, 129, 1.00e+05, 0
Cs, 131, 1.00e+06, 0
Cs, 132, 1.00e+05, 0
Cs, 134, 1.00e+04, 0
Cs, 134m, 1.00e+05, 0
Cs, 135, 1.00e+07, 0
Cs, 136, 1.00e+05, 0
Cs, 137, 1.00e+04, 0
Cu, 64, 1.00e+06, 0
Cu, 67, 1.00e+06, 0
Dy, 159, 1.00e+07, 0
Dy, 165, 1.00e+06, 0
Dy, 166, 1.00e+06, 0
Er, 169, 1.00e+07, 0
Er, 171, 1.00e+06, 0
Eu, 147, 1.00e+06, 0
Eu, 148, 1.00e+06, 0
Eu, 149, 1.00e+07, 0
Eu, 150(short), 1.00e+06, 0
Eu, 150(long), 1.00e+06, 0
Eu, 152, 1.00e+06, 0
Eu, 152m, 1.00e+06, 0
Eu, 154, 1.00e+06, 0
Eu, 155, 1.00e+07, 0
Eu, 156, 1.00e+06, 0
F, 18, 1.00e+06, 0
Fe, 52, 1.00e+06, 0
Fe, 55, 1.00e+06, 0
Fe, 59, 1.00e+06, 0
Fe, 60, 1.00e+05, 0
Ga, 67, 1.00e+06, 0
Ga, 68, 1.00e+05, 0
Ga, 72, 1.00e+05, 0
Gd, 146, 1.00e+06, 0
Gd, 148, 1.00e+04, 0
Gd, 153, 1.00e+07, 0
Gd, 159, 1.00e+06, 0
Ge, 68, 1.00e+05, 0
Ge, 71, 1.00e+08, 0
Ge, 77, 1.00e+05, 0
H, 3, 1.00e+09, 0
Hf, 172, 1.00e+06, 0
Hf, 175, 1.00e+06, 0
Hf, 181, 1.00e+06, 0
Hf, 182, 1.00e+06, 0
Hg, 194, 1.00e+06, 0
Hg, 195m, 1.00e+06, 0
Hg, 197, 1.00e+07, 0
Hg, 197m, 1.00e+06, 0
Hg, 203, 1.00e+05, 0
Ho, 166, 1.00e+05, 0
Ho, 166m, 1.00e+06, 0
I, 123, 1.00e+07, 0
I, 124, 1.00e+06, 0
I, 125, 1.00e+06, 0
I, 126, 1.00e+06, 0
I, 129, 1.00e+05, 0
I, 131, 1.00e+06, 0
I, 132, 1.00e+05, 0
I, 133, 1.00e+06, 0
I, 134, 1.00e+05, 0
I, 135, 1.00e+06, 0
In, 111, 1.00e+06, 0
In, 113m, 1.00e+06, 0
In, 114m, 1.00e+06, 0
In, 115m, 1.00e+06, 0
Ir, 189, 1.00e+07, 0
Ir, 190, 1.00e+06, 0
Ir, 192, 1.00e+04, 0
Ir, 194, 1.00e+05, 0
K, 40, 1.00e+06, 0
K, 42, 1.00e+06, 0
K, 43, 1.00e+06, 0
Kr, 79, 1.00e+05, 0
Kr, 81, 1.00e+07, 0
Kr, 85, 1.00e+04, 0
Kr, 85m, 1.00e+10, 0
Kr, 87, 1.00e+09, 0
La, 137, 1.00e+07, 0
La, 140, 1.00e+05, 0
Lu, 172, 1.00e+06, 0
Lu, 173, 1.00e+07, 0
Lu, 174, 1.00e+07, 0
Lu, 174m, 1.00e+07, 0
Lu, 177, 1.00e+07, 0
Mg, 28, 1.00e+05, 0
Mn, 52, 1.00e+05, 0
Mn, 53, 1.00e+09, 0
Mn, 54, 1.00e+06, 0
Mn, 56, 1.00e+05, 0
Mo, 93, 1.00e+08, 0
Mo, 99, 1.00e+06, 0
N, 13, 1.00e+09, 0
Na, 22, 1.00e+06, 0
Na, 24, 1.00e+05, 0
Nb, 93m, 1.00e+07, 0
Nb, 94, 1.00e+06, 0
Nb, 95, 1.00e+06, 0
Nb, 97, 1.00e+06, 0
Nd, 147, 1.00e+06, 0
Nd, 149, 1.00e+06, 0
Ni, 59, 1.00e+08, 0
Ni, 63, 1.00e+08, 0
Ni, 65, 1.00e+06, 0
Np, 235, 1.00e+07, 0
Np, 236(short), 1.00e+07, 0
Np, 236(long), 1.00e+05, 0
Np, 237, 1.00e+03, 0
Np, 239, 1.00e+07, 0
Os, 185, 1.00e+06, 0
Os, 191, 1.00e+07, 0
Os, 191m, 1.00e+07, 0
Os, 193, 1.00e+06, 0
Os, 194, 1.00e+05, 0
P, 32, 1.00e+05, 0
P, 33, 1.00e+08, 0
Pa, 230, 1.00e+06, 0
Pa, 231, 1.00e+03, 0
Pa, 233, 1.00e+07, 0
Pb, 201, 1.00e+06, 0
Pb, 202, 1.00e+06, 0
Pb, 203, 1.00e+06, 0
Pb, 205, 1.00e+07, 0
Pb, 210, 1.00e+04, 0
Pb, 212, 1.00e+05, 0
Pd, 103, 1.00e+08, 0
Pd, 107, 1.00e+08, 0
Pd, 109, 1.00e+06, 0
Pm, 143, 1.00e+06, 0
Pm, 144, 1.00e+06, 0
Pm, 145, 1.00e+07, 0
Pm, 147, 1.00e+07, 0
Pm, 148m, 1.00e+06, 0
Pm, 149, 1.00e+06, 0
Pm, 151, 1.00e+06, 0
Po, 210, 1.00e+04, 0
Pr, 142, 1.00e+05, 0
Pr, 143, 1.00e+06, 0
Pt, 188, 1.00e+06, 0
Pt, 191, 1.00e+06, 0
Pt, 193, 1.00e+07, 0
Pt, 193m, 1.00e+07, 0
Pt, 195m, 1.00e+06, 0
Pt, 197, 1.00e+06, 0
Pt, 197m, 1.00e+06, 0
Pu, 236, 1.00e+04, 0
Pu, 237, 1.00e+07, 0
Pu, 238, 1.00e+04, 0
Pu, 239, 1.00e+04, 0
Pu, 240, 1.00e+03, 0
Pu, 241, 1.00e+05, 0
Pu, 242, 1.00e+04, 0
Pu, 244, 1.00e+04, 0
Ra, 223, 1.00e+05, 0
Ra, 224, 1.00e+05, 0
Ra, 225, 1.00e+05, 0
Ra, 226, 1.00e+04, 0
Ra, 228, 1.00e+05, 0
Rb, 81, 1.00e+06, 0
Rb, 83, 1.00e+06, 0
Rb, 84, 1.00e+06, 0
Rb, 86, 1.00e+05, 0
Rb, 87, 1.00e+07, 0
Rb, nat, 1.00e+07,0
Re, 184, 1.00e+06, 0
Re, 184m, 1.00e+06, 0
Re, 186, 1.00e+06, 0
Re, 187, 1.00e+09, 0
Re, 188, 1.00e+05, 0
Re, 189, 1.00e+06, 0
Re, nat, 1.00e+09,0
Rh, 99, 1.00e+06, 0
Rh, 101, 1.00e+07, 0
Rh, 102, 1.00e+06, 0
Rh, 102m, 1.00e+06, 0
Rh, 103m, 1.00e+08, 0
Rh, 105, 1.00e+07, 0
Rn, 222, 1.00e+08, 0
Ru, 97, 1.00e+07, 0
Ru, 103, 1.00e+06, 0
Ru, 105, 1.00e+06, 0
Ru, 106, 1.00e+05, 0
S, 35, 1.00e+08, 0
Sb, 122, 1.00e+04, 0
Sb, 124, 1.00e+06, 0
Sb, 125, 1.00e+06, 0
Sb, 126, 1.00e+05, 0
Sc, 44, 1.00e+05, 0
Sc, 46, 1.00e+06, 0
Sc, 47, 1.00e+06, 0
Sc, 48, 1.00e+05, 0
Se, 75, 1.00e+06, 0
Se, 79, 1.00e+07, 0
Si, 31, 1.00e+06, 0
Si, 32, 1.00e+06, 0
Sm, 145, 1.00e+07, 0
Sm, 147, 1.00e+04, 0
Sm, 151, 1.00e+08, 0
Sm, 153, 1.00e+06, 0
Sn, 113, 1.00e+07, 0
Sn, 117m, 1.00e+06, 0
Sn, 119m, 1.00e+07, 0
Sn, 121m, 1.00e+07, 0
Sn, 123, 1.00e+06, 0
Sn, 125, 1.00e+05, 0
Sn, 126, 1.00e+05, 0
Sr, 82, 1.00e+05, 0
Sr, 85, 1.00e+06, 0
Sr, 85m, 1.00e+07, 0
Sr, 87m, 1.00e+06, 0
Sr, 89, 1.00e+06, 0
Sr, 90, 1.00e+04, 0
Sr, 91, 1.00e+05, 0
Sr, 92, 1.00e+06, 0
T, nat, 1.00e+09,0
Ta, 178, 1.00e+06, 0
Ta, 179, 1.00e+07, 0
Ta, 182, 1.00e+04, 0
Tb, 157, 1.00e+07, 0
Tb, 158, 1.00e+06, 0
Tb, 160, 1.00e+06, 0
Tc, 95m, 1.00e+06, 0
Tc, 96, 1.00e+06, 0
Tc, 96m, 1.00e+07, 0
Tc, 97, 1.00e+08, 0
Tc, 97m, 1.00e+07, 0
Tc, 98, 1.00e+06, 0
Tc, 99, 1.00e+07, 0
Tc, 99m, 1.00e+07, 0
Te, 121, 1.00e+06, 0
Te, 121m, 1.00e+05, 0
Te, 123m, 1.00e+07, 0
Te, 125m, 1.00e+07, 0
Te, 127, 1.00e+06, 0
Te, 127m, 1.00e+07, 0
Te, 129, 1.00e+06, 0
Te, 129m, 1.00e+06, 0
Te, 131m, 1.00e+06, 0
Te, 132, 1.00e+07, 0
Th, 227, 1.00e+04, 0
Th, 228, 1.00e+04, 0
Th, 229, 1.00e+03, 0
Th, 230, 1.00e+04, 0
Th, 231, 1.00e+07, 0
Th, 232, 1.00e+04, 0
Th, 234, 1.00e+05, 0
Th, nat, 1.00e+03,0
Ti, 44, 1.00e+05, 0
Tl, 200, 1.00e+06, 0
Tl, 201, 1.00e+06, 0
Tl, 202, 1.00e+06, 0
Tl, 204, 1.00e+04, 0
Tm, 167, 1.00e+06, 0
Tm, 170, 1.00e+06, 0
Tm, 171, 1.00e+08, 0
U, 230fast, 1.00e+05, 0
U, 230medium, 1.00e+04, 0
U, 230slow, 1.00e+04, 0
U, 232fast, 1.00e+03, 0
U, 232medium, 1.00e+04, 0
U, 232slow, 1.00e+04, 0
U, 233fast, 1.00e+04, 0
U, 233medium, 1.00e+05, 0
U, 233slow, 1.00e+05, 0
U, 234fast, 1.00e+04, 0
U, 234medium, 1.00e+05, 0
U, 234slow, 1.00e+05, 0
U, 235, 1.00e+04, 0
U, 236fast, 1.00e+04, 0
U, 236medium, 1.00e+05, 0
U, 236slow, 1.00e+04, 0
U, 238, 1.00e+04, 0
U, nat, 1.00e+03,0
V, 48, 1.00e+05, 0
V, 49, 1.00e+07, 0
W, 178, 1.00e+06, 0
W, 181, 1.00e+07, 0
W, 185, 1.00e+07, 0
W, 187, 1.00e+06, 0
W, 188, 1.00e+05, 0
Xe, 122, 1.00e+09, 0
Xe, 123, 1.00e+09, 0
Xe, 127, 1.00e+05, 0
Xe, 131m, 1.00e+04, 0
Xe, 133, 1.00e+04, 0
Xe, 135, 1.00e+10, 0
Y, 87, 1.00e+06, 0
Y, 88, 1.00e+06, 0
Y, 90, 1.00e+05, 0
Y, 91, 1.00e+06, 0
Y, 91m, 1.00e+06, 0
Y, 92, 1.00e+05, 0
Y, 93, 1.00e+05, 0
Yb, 169, 1.00e+07, 0
Yb, 175, 1.00e+07, 0
Zn, 65, 1.00e+06, 0
Zn, 69, 1.00e+06, 0
Zn, 69m, 1.00e+06, 0
Zr, 88, 1.00e+06, 0
Zr, 93, 1.00e+07, 0
Zr, 95, 1.00e+06, 0
Zr, 97, 1.00e+05, 0
