Abbr,Value
Ag-110m,249.79
Am-241,157861.05
As-71,2.72
As-72,1.083333333
As-73,80
As-74,17.77
Au-198,2.7
Au-198m,2.27
Ba-133,3838.7775
Be-7,53.4
Bi-207,12199.35
Br-82,1.485
Br-84,0.037037037
C-11,0.023703704
C-14,2045400
Ca-45,162.7
Cd-109,462.6
Ce-141,32.5
Cf-252,963.89475
Cl-36,109940250
Cm-244,6614.6775
Co-56,78.76
Co-57,271.79
Co-58,70.86
Co-60,1924.8675
Cr-49,0.0293
Cr-51,27.7
Cs-134,753.1455
Cs-137,11019.5925
Eu-152,4967.4
Eu-154,3214.2
F-18,0.127013889
Fe-55,986.175
Fe-59,44.6
Ga-67,3.261
Gd-148,27247.65
Gd-153,241.6
Ge-68,288
H-3,4485.27
Hg-197,2.6725
Hg-197m,0.991666667
Hg-203,46.61
I-123,0.547
I-124,4.17
I-125,60.14
I-129,5734425000
I-131,8.04
In-111,2.83
In-116m1,0.0376
Ir-188,1.73
Ir-189,13.2
Ir-192,74.02
Ir-194,0.803
K-42,0.515
Kr-85,3925.94
La-140,1.681
Lu-177,6.734
Mn-54,312.7
Mn-56,0.107438
Mo-99,2.75
N-13,0.011539352
Na-22,736.9
Na-24,0.625
Nb-97,0.5007
Ni-56,6.077
Ni-63,36561.525
O-15,0.002314815
P-32,14.29
P-33,25.4
Pb-210,8130.465
Pd-103,16.96
Pm-147,958.19685
Po-208,1058.4945
Po-210,138.378
Pt-188,10
Pt-191,2.802
Pt-195m,4.02
Pu-239,8813847.75
Ra-226,584400
Ra-226d,584400
Ra-226p,584400
Rb-82,0.001388889
Rb-83,86.2
Rb-86,18.7
Rh-105,1.473208333
Ru-103,39.35
Ru-106,373.59
S-35,87.44
Sb-122,2.724
Sb-124,60.2
Sc-44,0.1625
Sc-46,83.83
Sc-47,3.3492
Se-72,8.4
Se-75,119.78
Sm-153,1.946
Sn-113,115.1
Sn-119m,293.1
Sr-82,25
Sr-89,50.55
Sr-90,10446.15
Ta-182,114.43
Tc-95m,61
Tc-99,77798250
Tc-99m,0.251
Th-228,697.6275
Th-230,27532545
Th-232,5.13176e+12
Tl-201,3.044
Tl-204,1380.645
U-234,89668875
U-238,1.63267e+12
V-48,15.9
W-187,0.988333333
Xe-133,5.245
Y-88,106.6
Y-90,2.67
Yb-169,32.026
Zn-65,244.4
Zr-95,64.02
Ac-225,-2101
Ac-227,-2101
Ac-228,-2101
Ag-105,-2101
Ag-108m,-2101
Ag-111,-2101
Al-26,-2101
Am-242m,-2101
Am-243,-2101
Ar-37,-2101
Ar-39,-2101
Ar-41,-2101
As-76,-2101
As-77,-2101
At-211,-2101
Au-193,-2101
Au-194,-2101
Au-195,-2101
Au-199,-2101
Ba-131,-2101
Ba-133m,-2101
Ba-140,-2101
Be-10,-2101
Bi-205,-2101
Bi-206,-2101
Bi-210,-2101
Bi-210m,-2101
Bi-212,-2101
Bk-247,-2101
Bk-249,-2101
Br-76,-2101
Br-77,-2101
Ca-41,-2101
Ca-47,-2101
Cd-113m,-2101
Cd-115,-2101
Cd-115m,-2101
Ce-139,-2101
Ce-143,-2101
Ce-144,-2101
Cf-248,-2101
Cf-249,-2101
Cf-250,-2101
Cf-251,-2101
Cf-253,-2101
Cf-254,-2101
Cl-38,-2101
Cm-240,-2101
Cm-241,-2101
Cm-242,-2101
Cm-243,-2101
Cm-245,-2101
Cm-246,-2101
Cm-247,-2101
Cm-248,-2101
Co-55,-2101
Co-58m,-2101
Cs-129,-2101
Cs-131,-2101
Cs-132,-2101
Cs-134m,-2101
Cs-135,-2101
Cs-136,-2101
Cu-64,-2101
Cu-67,-2101
Dy-159,-2101
Dy-165,-2101
Dy-166,-2101
Er-169,-2101
Er-171,-2101
Eu-147,-2101
Eu-148,-2101
Eu-149,-2101
Eu-150(short),-2101
Eu-150(long),-2101
Eu-152m,-2101
Eu-155,-2101
Eu-156,-2101
Fe-52,-2101
Fe-60,-2101
Ga-68,-2101
Ga-72,-2101
Gd-146,-2101
Gd-159,-2101
Ge-71,-2101
Ge-77,-2101
Hf-172,-2101
Hf-175,-2101
Hf-181,-2101
Hf-182,-2101
Hg-194,-2101
Hg-195m,-2101
Ho-166,-2101
Ho-166m,-2101
I-126,-2101
I-132,-2101
I-133,-2101
I-134,-2101
I-135,-2101
In-113m,-2101
In-114m,-2101
In-115m,-2101
Ir-190,-2101
K-40,-2101
K-43,-2101
Kr-81,-2101
Kr-85m,-2101
Kr-87,-2101
La-137,-2101
Lu-172,-2101
Lu-173,-2101
Lu-174,-2101
Lu-174m,-2101
Mg-28,-2101
Mn-52,-2101
Mn-53,-2101
Mo-93,-2101
Nb-93m,-2101
Nb-94,-2101
Nb-95,-2101
Nd-147,-2101
Nd-149,-2101
Ni-59,-2101
Ni-65,-2101
Np-235,-2101
Np-236(short),-2101
Np-236(long),-2101
Np-237,-2101
Np-239,-2101
Os-185,-2101
Os-191,-2101
Os-191m,-2101
Os-193,-2101
Os-194,-2101
Pa-230,-2101
Pa-231,-2101
Pa-233,-2101
Pb-201,-2101
Pb-202,-2101
Pb-203,-2101
Pb-205,-2101
Pb-212,-2101
Pd-107,-2101
Pd-109,-2101
Pm-143,-2101
Pm-144,-2101
Pm-145,-2101
Pm-148m,-2101
Pm-149,-2101
Pm-151,-2101
Pr-142,-2101
Pr-143,-2101
Pt-193,-2101
Pt-193m,-2101
Pt-197,-2101
Pt-197m,-2101
Pu-236,-2101
Pu-237,-2101
Pu-238,-2101
Pu-240,-2101
Pu-241,-2101
Pu-242,-2101
Pu-244,-2101
Ra-223,-2101
Ra-224,-2101
Ra-225,-2101
Ra-228,-2101
Rb,-2101
Rb-81,-2101
Rb-84,-2101
Rb-87,-2101
Re,-2101
Re-184,-2101
Re-184m,-2101
Re-186,-2101
Re-187,-2101
Re-188,-2101
Re-189,-2101
Rh-99,-2101
Rh-101,-2101
Rh-102,-2101
Rh-102m,-2101
Rh-103m,-2101
Rn-222,-2101
Ru-97,-2101
Ru-105,-2101
Sb-125,-2101
Sb-126,-2101
Sc-48,-2101
Se-79,-2101
Si-31,-2101
Si-32,-2101
Sm-145,-2101
Sm-147,-2101
Sm-151,-2101
Sn-117m,-2101
Sn-121m,-2101
Sn-123,-2101
Sn-125,-2101
Sn-126,-2101
Sr-85,-2101
Sr-85m,-2101
Sr-87m,-2101
Sr-91,-2101
Sr-92,-2101
T,-2101
Ta-178,-2101
Ta-179,-2101
Tb-157,-2101
