Abbr,Value
Ac-224,100
Ac-225,1
Ac-226,10
Ac-227,0.001
Ac-228,10
Ag-102,100
Ag-103,1000
Ag-104,1000
Ag-104m,1000
Ag-105,10
Ag-106,100
Ag-106m,10
Ag-108m,10
Ag-110m,10
Ag-111,10
Ag-112,100
Ag-115,1000
Al-26,10
Am-237,1000
Am-238,100
Am-239,100
Am-240,10
Am-241,0.01
Am-242,100
Am-242m,0.01
Am-243,0.01
Am-244,10
Am-244m,1000
Am-245,1000
Am-246,1000
Am-246m,1000
Ar-37,1
Ar-39,1000
Ar-41,10
As-69,1000
As-70,100
As-71,100
As-72,10
As-73,100
As-74,10
As-76,100
As-77,1000
As-78,100
At-207,100
At-211,100
Au-193,100
Au-194,10
Au-195,100
Au-198,100
Au-198m,10
Au-199,100
Au-200,1000
Au-200m,10
Au-201,1000
Ba-126,1000
Ba-128,10
Ba-131,10
Ba-131m,1000
Ba-133,10
Ba-133m,100
Ba-135m,1000
Ba-139,1000
Ba-140,10
Ba-141,1000
Ba-142,1000
Be-7,100
Be-10,1
Bi-200,100
Bi-201,100
Bi-202,1000
Bi-203,10
Bi-205,10
Bi-206,10
Bi-207,10
Bi-210,10
Bi-210m,0.1
Bi-212,100
Bi-213,100
Bi-214,100
Bk-245,100
Bk-246,10
Bk-247,0.01
Bk-249,1
Bk-250,100
Br-74,100
Br-74m,100
Br-75,100
Br-76,10
Br-77,100
Br-80,1000
Br-80m,1000
Br-82,10
Br-83,1000
Br-84,100
C-11,1000
C-14,10
Ca-41,10
Ca-45,10
Ca-47,10
Cd-104,1000
Cd-107,1000
Cd-109,1
Cd-113,0.1
Cd-113m,0.1
Cd-115,100
Cd-115m,10
Cd-117,100
Cd-117m,10
Ce-134,10
Ce-135,10
Ce-137,1000
Ce-137m,100
Ce-139,100
Ce-141,10
Ce-143,100
Ce-144,1
Cf-244,1000
Cf-246,10
Cf-248,0.1
Cf-249,0.01
Cf-250,0.01
Cf-251,0.01
Cf-252,0.1
Cf-253,10
Cf-254,0.1
Cl-36,10
Cl-38,100
Cl-39,100
Cm-238,1000
Cm-240,1
Cm-241,10
Cm-242,1
Cm-243,0.01
Cm-244,0.01
Cm-245,0.01
Cm-246,0.01
Cm-247,0.01
Cm-248,0.001
Cm-249,1000
Co-55,10
Co-56,10
Co-57,100
Co-58,10
Co-58m,1000
Co-60,10
Co-60m,1000
Co-61,1000
Co-62m,1000
Cr-48,100
Cr-49,1000
Cr-51,1000
Cs-125,1000
Cs-127,100
Cs-129,100
Cs-130,1000
Cs-131,1000
Cs-132,10
Cs-134,1
Cs-134m,1000
Cs-135,10
Cs-135m,100
Cs-136,10
Cs-137,1
Cs-138,100
Cu-60,100
Cu-61,100
Cu-64,1000
Cu-67,100
Dy-155,100
Dy-157,100
Dy-159,100
Dy-165,1000
Dy-166,10
Er-161,100
Er-165,1000
Er-169,100
Er-171,100
Er-172,10
Es-250,10
Es-251,1000
Es-253,10
Es-254,0.1
Es-254m,1
Eu-147,10
Eu-148,10
Eu-145,10
Eu-146,10
Eu-147,10
Eu-148,10
Eu-149,100
Eu-150(short),1000
Eu-150(long),10
Eu-152,10
Eu-152m,100
Eu-154,10
Eu-155,10
Eu-156,10
Eu-157,10
Eu-158,1000
F-18,1000
Fe-52,100
Fe-55,100
Fe-59,10
Fe-60,0.1
Fm-252,10
Fm-253,10
Fm-254,100
Fm-255,100
Fm-257,1
Fr-222,100
Fr-223,100
Ga-65,1000
Ga-66,10
Ga-67,100
Ga-68,1000
Ga-70,1000
Ga-72,10
Ga-73,100
Gd-145,100
Gd-146,10
Gd-147,10
Gd-148,0.001
Gd-149,100
Gd-151,100
Gd-152,0.001
Gd-153,10
Gd-159,1000
Ge-66,100
Ge-67,1000
Ge-68,10
Ge-69,10
Ge-71,1000
Ge-75,1000
Ge-77,10
Ge-78,1000
H-3,100
Hf-170,100
Hf-172,1
Hf-173,100
Hf-175,100
Hf-177m,1000
Hf-178m,0.1
Hf-179m,100
Hf-180m,100
Hf-181,10
Hf-182,0.1
Hf-182m,100
Hf-183,100
Hf-184,100
Hg-193,100
Hg-193m,10
Hg-194,0.1
Hg-195,100
Hg-195m,100
Hg-197,1000
Hg-197m,1000
Hg-199m,1000
Hg-203,10
Ho-155,1000
Ho-157,1000
Ho-159,1000
Ho-161,1000
Ho-162,1000
Ho-162m,1000
Ho-164,1000
Ho-164m,1000
Ho-166,100
Ho-166m,1
Ho-167,100
I-120,10
I-120m,100
I-121,100
I-123,10
I-124,0.1
I-125,0.01
I-126,0.01
I-128,1000
I-129,0.001
I-130,1
I-131,0.01
I-132,10
I-132m,10
I-133,0.1
I-134,100
I-135,10
In-109,100
In-110(short),100
In-110(long),10
In-111,100
In-112,1000
In-113m,1000
In-114m,10
In-115m,100
In-116m,100
In-117,1000
In-117m,100
In-119m,1000
Ir-182,1000
Ir-184,100
Ir-185,100
Ir-186,10
Ir-187,100
Ir-188,10
Ir-189,100
Ir-190,10
Ir-190m,1000
Ir-192,10
Ir-192m,100
Ir-194,100
Ir-194m,10
Ir-195,1000
Ir-195m,100
K-40,1
K-42,100
K-43,10
K-44,100
K-45,1000
Kr-74,10
Kr-76,10
Kr-77,10
Kr-79,100
Kr-81,1000
Kr-83m,1000
Kr-85,1000
Kr-85m,100
Kr-87,10
Kr-88,10
La-131,1000
La-132,100
La-135,1000
La-137,10
La-138,1
La-140,10
La-141,1000
La-142,100
La-143,1000
Lu-169,10
Lu-170,10
Lu-171,10
Lu-172,10
Lu-173,100
Lu-174,10
Lu-174m,10
Lu-176,1
Lu-176m,1000
Lu-177,100
Lu-177m,10
Lu-178,1000
Lu-178m,1000
Lu-179,1000
Md-257,100
Md-258,1
Mg-28,10
Mn-51,1000
Mn-52,10
Mn-52m,1000
Mn-53,1000
Mn-54,10
Mn-56,100
Mo-90,100
Mo-93,100
Mo-93m,10
Mo-99,100
Mo-101,1000
N-13,1
Na-22,10
Na-24,10
Nb-88,100
Nb-89(short),100
Nb-89(long),100
Nb-90,10
Nb-93m,100
Nb-94,10
Nb-95,10
Nb-95m,100
Nb-96,10
Nb-97,100
Nb-98,1000
Nd-136,1000
Nd-138,1000
Nd-139,1000
Nd-139m,100
Nd-141,1000
Nd-147,10
Nd-149,100
Nd-151,1000
Ni-56,10
Ni-57,10
Ni-59,100
Ni-63,100
Ni-65,100
Ni-66,10
Np-232,1000
Np-233,1000
Np-234,10
Np-235,1000
Np-236(short),100
Np-236(long),0.1
Np-237,0.01
Np-238,0.01
Np-239,100
Np-240,100
Os-180,1000
Os-181,100
Os-182,100
Os-185,10
Os-189m,1000
Os-191,100
Os-191m,1000
Os-193,100
Os-194,1
P-32,0.1
P-33,1
Pa-227,100
Pa-228,10
Pa-230,10
Pa-231,0.01
Pa-232,10
Pa-233,100
Pa-234,10
Pb-195m,1000
Pb-198,100
Pb-199,100
Pb-200,100
Pb-201,100
Pb-202,1
Pb-202m,10
Pb-203,100
Pb-205,100
Pb-209,1000
Pb-210,0.01
Pb-211,100
Pb-212,10
Pb-214,100
Pd-100,100
Pd-101,100
Pd-103,100
Pd-107,100
Pd-109,1000
Pm-141,1000
Pm-143,100
Pm-144,10
Pm-145,100
Pm-146,10
Pm-147,10
Pm-148,10
Pm-148m,10
Pm-149,100
Pm-150,100
Pm-151,100
Po-203,100
Po-205,100
Po-207,10
Po-210,0.01
Pr-136,1000
Pr-137,1000
Pr-138m,100
Pr-139,1000
Pr-142,100
Pr-142m,1000
Pr-143,10
Pr-144,1000
Pr-145,1000
Pr-147,1000
Pt-186,100
Pt-188,100
Pt-189,100
Pt-191,100
Pt-193,1000
Pt-193m,100
Pt-195m,100
Pt-197,1000
Pt-197m,1000
Pt-199,1000
Pt-200,100
Pu-234,1000
Pu-235,1000
Pu-236,0.1
Pu-237,1000
Pu-238,0.01
Pu-239,0.01
Pu-240,0.01
Pu-241,1
Pu-242,0.01
Pu-243,1000
Pu-244,0.01
Pu-245,100
Ra-223,1
Ra-224,10
Ra-225,1
Ra-226,0.1
Ra-227,1000
Ra-228,0.1
Rb-79,1000
Rb-81,100
Rb-81m,1000
Rb-82m,10
Rb-83,10
Rb-84,10
Rb-86,10
Rb-87,10
Rb-88,1000
Rb-89,1000
Re-177,1000
Re-178,1000
Re-181,100
Re-182(short),10
Re-182(long),10
Rb,1
Re-184,10
Re-184m,10
Re-186,100
Re-186m,10
Re-187,1000
Re-188,1000
Re-188m,1000
Re-189,1000
Re,1
Rh-99,10
Rh-99m,100
Rh-100,10
Rh-101,10
Rh-101m,100
Rh-102,10
Rh-102m,10
Rh-103m,1000
Rh-105,100
Rh-106m,10
Rh-107,1000
Rn-220,0.1
Rn-222,0.1
Ru-94,1000
Ru-97,100
Ru-103,10
Ru-105,100
Ru-106,1
S-35,1
Sb-115,1000
Sb-116,1000
Sb-116m,100
Sb-117,1000
Sb-118m,10
Sb-119,1000
Sb-120(short),1000
Sb-120(long),10
Sb-122,10
Sb-124,10
Sb-124m,1000
Sb-125,10
Sb-126,10
Sb-126m,1000
Sb-127,10
Sb-128(short),1000
Sb-128(long),10
Sb-129,100
Sb-130,100
Sb-131,1000
Sc-43,1000
Sc-44,100
