Name,Abbr,Version
Actinium-255,Ac-225,0
Actinium-227,Ac-227,0
Actinium-228,Ac-228,0
Silver-105,Ag-105,0
Silver-108m,Ag-108m,0
Silver-110m,Ag-110m,0
Silver-111,Ag-111,0
Aluminum-26,Al-26,0
Americium-241,Am-241,0
Americium-242m,Am-242m,0
Americium-243,Am-243,0
Argon-37,Ar-37,0
Argon-39,Ar-39,0
Argon-41,Ar-41,0
Arsenic-71,As-71,0
Arsenic-72,As-72,0
Arsenic-73,As-73,0
Arsenic-74,As-74,0
Arsenic-76,As-76,0
Arsenic-77,As-77,0
Astatine-211,At-211,0
Gold-193,Au-193,0
Gold-194,Au-194,0
Gold-195,Au-195,0
Gold-196,Au-196,0
Gold-198,Au-198,0
Gold-198m,Au-198m,0
Gold-199,Au-199,0
Barium-131,Ba-131,0
Barium-133,Ba-133,0
Barium-133m,Ba-133m,0
Barium-140,Ba-140,0
Beryllium-7,Be-7,0
Beryllium-10,Be-10,0
Bismuth-205,Bi-205,0
Bismuth-206,Bi-206,0
Bismuth-207,Bi-207,0
Bismuth-210,Bi-210,0
Bismuth-210m,Bi-210m,0
Bismuth-212,Bi-212,0
Berkelium-247,Bk-247,0
Berkelium-249,Bk-249,0
Bromine-76,Br-76,0
Bromine-77,Br-77,0
Bromine-82,Br-82,0
Bromine-84,Br-84,0
Carbon-11,C-11,0
Carbon-14,C-14,0
Calcium-41,Ca-41,0
Calcium-45,Ca-45,0
Calcium-47,Ca-47,0
Cadmium-109,Cd-109,0
Cadmium-113m,Cd-113m,0
Cadmium-115,Cd-115,0
Cadmium-115m,Cd-115m,0
Cerium-139,Ce-139,0
Cerium-141,Ce-141,0
Cerium-143,Ce-143,0
Cerium-144,Ce-144,0
Californium-248,Cf-248,0
Californium-249,Cf-249,0
Californium-250,Cf-250,0
Californium-251,Cf-251,0
Californium-252,Cf-252,0
Californium-253,Cf-253,0
Californium-254,Cf-254,0
Chlorine-36,Cl-36,0
Chlorine-38,Cl-38,0
Curium-240,Cm-240,0
Curium-241,Cm-241,0
Curium-242,Cm-242,0
Curium-243,Cm-243,0
Curium-244,Cm-244,0
Curium-245,Cm-245,0
Curium-246,Cm-246,0
Curium-247,Cm-247,0
Curium-248,Cm-248,0
Cobalt-55,Co-55,0
Cobalt-56,Co-56,0
Cobalt-57,Co-57,0
Cobalt-58,Co-58,0
Cobalt-58m,Co-58m,0
